season_year,team_id,team_abbreviation,team_name,gp,w,l,min,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct
2015-16,1610612747,LAL,Los Angeles Lakers,82,17,65,240.6,7.2,4.1,32.3,16.8,24.8,0.678
2015-16,1610612763,MEM,Memphis Grizzlies,82,42,40,241.8,8.8,4.3,30.5,13.3,21.2,0.625
2015-16,1610612748,MIA,Miami Heat,82,48,34,241.8,6.7,6.5,34.3,14,23.2,0.602
2015-16,1610612749,MIL,Milwaukee Bucks,82,33,49,241.8,8.2,5.8,31.2,16,26.1,0.614
2015-16,1610612750,MIN,Minnesota Timberwolves,82,29,53,242.4,8,4.6,31.5,16.8,25.7,0.654
2015-16,1610612740,NOP,New Orleans Pelicans,82,30,52,241.2,7.7,4.2,33.1,14.7,22.6,0.652
2015-16,1610612752,NYK,New York Knicks,82,32,50,241.5,5.7,5.7,34,15,25.1,0.599
2015-16,1610612760,OKC,Oklahoma City Thunder,82,55,27,241.8,7.4,5.9,35.6,16.3,26.8,0.607
2015-16,1610612753,ORL,Orlando Magic,81,35,46,242.5,8.3,5,33,15.6,24.6,0.635
2015-16,1610612755,PHI,Philadelphia 76ers,82,10,72,241.5,8.3,6,31.8,15.8,25.6,0.618
2015-16,1610612756,PHX,Phoenix Suns,82,23,59,240.3,7.7,3.8,33.3,15.3,23.9,0.642
2015-16,1610612757,POR,Portland Trail Blazers,82,44,38,241.5,6.9,4.6,33.9,13.3,23,0.58
2015-16,1610612758,SAC,Sacramento Kings,81,33,48,241.5,9,4.5,33.6,15.1,23.7,0.636
2015-16,1610612759,SAS,San Antonio Spurs,82,67,15,240.3,8.3,5.9,34.5,13,21.9,0.593
2015-16,1610612761,TOR,Toronto Raptors,81,55,26,240.9,7.7,5.4,33.2,13.4,22.4,0.599
2015-16,1610612762,UTA,Utah Jazz,82,40,42,243.4,7.7,5.2,32.5,13.5,22.6,0.597
2015-16,1610612764,WAS,Washington Wizards,82,41,41,240.9,8.6,3.9,32.8,14.1,22.3,0.632
2014-15,1610612737,ATL,Atlanta Hawks,82,60,22,240.6,9.1,4.6,31.8,13.9,23.1,0.602
2014-15,1610612738,BOS,Boston Celtics,82,40,42,242.4,8.2,3.6,32.7,14.5,22.9,0.633
2014-15,1610612751,BKN,Brooklyn Nets,82,38,44,243.1,7,4.1,32,15.1,24.2,0.623
2014-15,1610612766,CHA,Charlotte Hornets,82,33,49,242.7,6.1,5.5,34.1,12,20.1,0.596
2014-15,1610612741,CHI,Chicago Bulls,82,50,32,242.4,6.3,5.8,34,13.6,23.4,0.583
2014-15,1610612739,CLE,Cleveland Cavaliers,81,53,28,241.2,7.3,4.1,31.9,14.3,23,0.622
2014-15,1610612742,DAL,Dallas Mavericks,82,50,32,242.4,8.1,4.5,31.8,14.9,23.7,0.628
2014-15,1610612743,DEN,Denver Nuggets,82,30,52,242.4,7.8,4.5,32.4,14.5,23.4,0.621
2014-15,1610612765,DET,Detroit Pistons,82,32,50,241.8,7.6,4.7,32.1,14.6,23.3,0.625
2014-15,1610612744,GSW,Golden State Warriors,82,67,15,240.6,9.3,6,34.3,13.4,22.9,0.586
2014-15,1610612745,HOU,Houston Rockets,81,55,26,241.5,9.5,4.9,32.1,16,26,0.616
2014-15,1610612754,IND,Indiana Pacers,82,38,44,242.1,6.2,4.6,34.4,12.4,21.2,0.583
2014-15,1610612746,LAC,Los Angeles Clippers,82,56,26,240.6,7.8,5,33.1,12.9,21.3,0.607
2014-15,1610612747,LAL,Los Angeles Lakers,82,21,61,243.1,7,4.5,32.3,15.4,24.1,0.639
2014-15,1610612763,MEM,Memphis Grizzlies,82,55,27,242.7,8.5,4.2,32.1,13.4,21.5,0.622
2014-15,1610612748,MIA,Miami Heat,81,36,45,240.6,7.8,4.6,30,14.4,22.7,0.636
2014-15,1610612749,MIL,Milwaukee Bucks,81,40,41,243.1,9.6,5,31.4,14.7,24.6,0.598
2014-15,1610612750,MIN,Minnesota Timberwolves,81,16,65,241.5,8.2,4,29.3,17.4,25.2,0.689
2014-15,1610612740,NOP,New Orleans Pelicans,82,45,37,241.2,6.7,6.2,32,16.4,26.4,0.623
2014-15,1610612752,NYK,New York Knicks,81,17,64,242.2,7,4.6,29.8,13.9,23.2,0.601
2014-15,1610612760,OKC,Oklahoma City Thunder,82,45,37,241.8,7.3,5.5,34.7,14.9,25.1,0.595
2014-15,1610612753,ORL,Orlando Magic,82,25,57,240.9,7.9,3.8,31.8,14.3,22.5,0.635
2014-15,1610612755,PHI,Philadelphia 76ers,82,18,64,241.5,9.6,5.9,30.9,14.9,25.4,0.588
2014-15,1610612756,PHX,Phoenix Suns,82,39,43,242.4,8.5,4.7,32.2,16,26.2,0.61
2014-15,1610612757,POR,Portland Trail Blazers,82,51,31,242.1,6.4,4.5,35.1,13.9,23.4,0.595
2014-15,1610612758,SAC,Sacramento Kings,82,29,53,242.1,6.7,4,33.3,15,23.1,0.65
2014-15,1610612759,SAS,San Antonio Spurs,82,55,27,243.4,8,5.4,33.8,14.3,24.3,0.589
2014-15,1610612761,TOR,Toronto Raptors,82,49,33,242.1,7.5,4.4,30.8,15.1,24.5,0.616
2014-15,1610612762,UTA,Utah Jazz,82,38,44,240.3,7.6,6,31.9,13.3,22.6,0.589
2014-15,1610612764,WAS,Washington Wizards,82,46,36,243.4,7.3,4.6,34.2,12.4,21.1,0.588
2013-14,1610612737,ATL,Atlanta Hawks,81,38,43,241.9,8.3,3.9,31.4,14.3,23.2,0.614
2013-14,1610612738,BOS,Boston Celtics,82,25,57,240.6,7.1,4.2,30.5,15.6,24.2,0.644
2013-14,1610612751,BKN,Brooklyn Nets,81,43,38,242.5,8.6,3.8,29.4,14.3,23.1,0.618
2013-14,1610612766,CHA,Charlotte Bobcats,81,42,39,242.8,6.1,5.2,33.2,12.3,20.3,0.606
2013-14,1610612741,CHI,Chicago Bulls,82,48,34,243.1,7.2,5.2,32.7,12,20.4,0.588
2013-14,1610612739,CLE,Cleveland Cavaliers,82,33,49,243.1,7.1,3.7,32.1,13.1,20.5,0.636
2013-14,1610612742,DAL,Dallas Mavericks,82,49,33,241.8,8.6,4.3,30.7,15.1,23.6,0.64
2013-14,1610612743,DEN,Denver Nuggets,82,36,46,240.9,7.5,5.6,33.1,15.4,25,0.614
2013-14,1610612765,DET,Detroit Pistons,82,29,53,241.2,8.4,4.8,30.8,15.8,25.5,0.618
2013-14,1610612744,GSW,Golden State Warriors,81,50,31,241.9,7.8,5,34.5,12.9,21.7,0.594
2013-14,1610612745,HOU,Houston Rockets,82,54,28,241.8,7.6,5.6,34.1,14.9,24.5,0.608
2013-14,1610612754,IND,Indiana Pacers,82,56,26,241.2,6.7,5.4,34.5,11.5,21.3,0.539
2013-14,1610612746,LAC,Los Angeles Clippers,82,57,25,240.9,8.6,4.8,32.5,15,24.1,0.622
2013-14,1610612747,LAL,Los Angeles Lakers,82,27,55,240.3,7.5,5.4,32,17.6,27.9,0.63
2013-14,1610612763,MEM,Memphis Grizzlies,82,50,32,241.5,7.7,4.6,30.8,12.7,20.6,0.615
2013-14,1610612748,MIA,Miami Heat,82,54,28,242.4,8.9,4.5,29.2,14.2,22.6,0.628
2013-14,1610612749,MIL,Milwaukee Bucks,81,15,66,242.5,6.6,4.9,29.2,15.2,24.6,0.618
2013-14,1610612750,MIN,Minnesota Timberwolves,82,40,42,242.1,8.8,3.6,32.2,16.3,24.6,0.664
2013-14,1610612740,NOP,New Orleans Pelicans,82,34,48,242.1,7.9,6.4,30.3,15.6,24.1,0.647
2013-14,1610612752,NYK,New York Knicks,82,37,45,242.1,7.7,4.5,29.7,14,22.4,0.627
2013-14,1610612760,OKC,Oklahoma City Thunder,82,59,23,241.5,8.3,6.1,33.9,13.3,23.2,0.572
2013-14,1610612753,ORL,Orlando Magic,82,23,59,243.4,7.7,4.3,32.4,13.5,21.1,0.64
2013-14,1610612755,PHI,Philadelphia 76ers,82,19,63,242.1,9.3,4,31.2,15.9,24.3,0.655
2013-14,1610612756,PHX,Phoenix Suns,82,48,34,240.9,8.4,4.6,31.7,15.4,24.8,0.623
2013-14,1610612757,POR,Portland Trail Blazers,82,54,28,242.1,5.5,4.7,34,14.7,25.3,0.581
2013-14,1610612758,SAC,Sacramento Kings,81,28,53,241.9,7.1,3.9,32.4,14.1,21.9,0.643
2013-14,1610612759,SAS,San Antonio Spurs,82,62,20,240.9,7.4,5.1,34,13.3,22.5,0.589
2013-14,1610612761,TOR,Toronto Raptors,81,47,34,243.4,7,4.2,31,14.5,23.8,0.609
2013-14,1610612762,UTA,Utah Jazz,82,25,57,241.2,7,4.5,30.2,15.7,24.8,0.631
2013-14,1610612764,WAS,Washington Wizards,81,44,37,244.6,8.2,4.6,31.4,13.7,21.6,0.633
